"~id","~start_node_id","~end_node_id","~relationship_type"
"785","1213","65","EXHIBITED_IN"
"786","514","65","EXHIBITED_IN"
"787","573","65","EXHIBITED_IN"
"788","585","65","EXHIBITED_IN"
"789","686","65","EXHIBITED_IN"
"790","785","65","EXHIBITED_IN"
"791","872","65","EXHIBITED_IN"
"792","885","65","EXHIBITED_IN"
"793","958","65","EXHIBITED_IN"
"794","976","65","EXHIBITED_IN"
"795","1054","65","EXHIBITED_IN"
"796","1093","65","EXHIBITED_IN"
"797","1104","65","EXHIBITED_IN"
"798","1109","65","EXHIBITED_IN"
"799","1165","65","EXHIBITED_IN"
"800","1236","65","EXHIBITED_IN"
"801","1264","65","EXHIBITED_IN"
"802","532","65","EXHIBITED_IN"
"803","613","65","EXHIBITED_IN"
"804","757","65","EXHIBITED_IN"
"805","812","65","EXHIBITED_IN"
"806","830","65","EXHIBITED_IN"
"807","853","65","EXHIBITED_IN"
"808","949","65","EXHIBITED_IN"
"809","1152","65","EXHIBITED_IN"
"810","1107","65","EXHIBITED_IN"
"811","784","65","EXHIBITED_IN"
"812","854","65","EXHIBITED_IN"
"813","874","65","EXHIBITED_IN"
"814","1075","65","EXHIBITED_IN"
"815","1076","65","EXHIBITED_IN"
"816","1206","113","EXHIBITED_IN"
"817","661","376","EXHIBITED_IN"
"818","1302","376","EXHIBITED_IN"
"819","946","376","EXHIBITED_IN"
"820","1290","376","EXHIBITED_IN"
"821","1094","376","EXHIBITED_IN"
"822","1328","376","EXHIBITED_IN"
"823","869","376","EXHIBITED_IN"
"824","881","376","EXHIBITED_IN"
"825","805","304","EXHIBITED_IN"
"826","563","432","EXHIBITED_IN"
"827","522","323","EXHIBITED_IN"
"828","616","323","EXHIBITED_IN"
"829","697","323","EXHIBITED_IN"
"830","1224","323","EXHIBITED_IN"
"831","1226","323","EXHIBITED_IN"
"832","1142","163","EXHIBITED_IN"
"833","1203","197","EXHIBITED_IN"
"834","984","279","EXHIBITED_IN"
"835","1008","279","EXHIBITED_IN"
"836","1309","279","EXHIBITED_IN"
