"~id","~labels","name","founded_in","type","year","gender","origin"
"405","Exhibition","De cierto, desierto, de cierto",,"colectiva",2013,,
"406","Exhibition","De la idea al Objeto",,"colectiva",2015,,
"407","Exhibition","Desfronterizarte",,"colectiva",2017,,
"408","Exhibition","Despora",,"individual",2015,,
"409","Exhibition","Descarados",,"individual",2014,,
"410","Exhibition","Desaparecidos",,"colectiva",2015,,
"411","Exhibition","Deconstrucción",,"individual",2019,,
"412","Exhibition","De Caos y Creación",,"colectiva",2020,,
"413","Exhibition","Decline",,"individual",2016,,
"414","Exhibition","Después de la calma",,"individual",2019,,
"415","Exhibition","De la Boca a la Botella",,"individual",2014,,
"416","Exhibition","De la construcción al vacío",,"colectiva",2016,,
"417","Exhibition","Devastación en carne propia",,"individual",2011,,
"418","Exhibition","De penetraciones y otras complicaciones",,"individual",2015,,
"419","Exhibition","Desintegraciones",,"individual",2016,,
"420","Exhibition","Dealers Venta ilustradores",,"colectiva",2018,,
"421","Exhibition","Del hedonismo y lo lúdico",,"individual",2019,,
"422","Exhibition","Dealers Expendio Gráfico",,"colectiva",2016,,
"423","Exhibition","Dealers Expendio gráfico",,"colectiva",2017,,
"424","Exhibition","Despistes, indirectas, digresiones y demás tretas para preguntar",,"individual",2017,,
"425","Exhibition","Decosntrucciones de identidad",,"individual",2014,,
"426","Exhibition","Delirios mexicanos 2014",,"individual",2014,,
"427","Exhibition","Cuerpos entretejidos",,"individual",2020,,
"428","Exhibition","Cuerpos sobre descomposición",,"individual",2015,,
"430","Exhibition","Corium",,"individual",2010,,
"431","Exhibition","Código Abstracto",,"individual",2019,,
"432","Exhibition","Construir una grieta",,"individual",2017,,
"433","Exhibition","Contratiempo",,"individual",2015,,
"434","Exhibition","Color y matiz queretano",,"colectiva",2016,,
"435","Exhibition","CONVIVIO",,"colectiva",2019,,
"436","Exhibition","Colisión cósmica / sinergia",,"individual",2017,,
"437","Exhibition","Colectiva Pictórica Festival Santiago",,"colectiva",2011,,
"439","Exhibition","Construcciones estructurales",,"individual",2014,,
"440","Exhibition","Colectiva duográfica",,"colectiva",2016,,
"441","Exhibition","Con los terroristas",,"individual",2018,,
"442","Exhibition","Color, formas y texturas",,"individual",2014,,
"443","Exhibition","Clase de Homero",,"individual",2020,,
"444","Exhibition","Charlie don´t surf",,"colectiva",2017,,
"445","Exhibition","cerouno010101 01101110 01100101 01111000 011100cerocero",,"colectiva",2017,,
"446","Exhibition","CC BIS",,"individual",2017,,
"447","Exhibition","Cábula raza",,"colectiva",2018,,
"448","Exhibition","Cartografía Constelativa",,"colectiva",2014,,
"449","Exhibition","Cabañuelas del cuerpo",,"individual",2017,,
"450","Exhibition","Cabeza y manos",,"colectiva",2016,,
"451","Exhibition","Caducifolia",,"individual",2017,,
"452","Exhibition","Campo Dinámico",,"individual",2015,,
"453","Exhibition","Casas",,"individual",2013,,
"454","Exhibition","Care 365",,"individual",2015,,
"455","Exhibition","Burn",,"individual",2018,,
"456","Exhibition","Board DripperV",,"individual",2014,,
"457","Exhibition","BoConcept",,"individual",2019,,
"459","Exhibition","Bitácora de la luz",,"individual",2020,,
"462","Exhibition","Bethel Puerta del Cielo",,"individual",2017,,
"463","Exhibition","Bestiario Poemas",,"colectiva",2018,,
"464","Exhibition","Barranco",,"colectiva",2019,,
"465","Exhibition","Batallas",,"individual",2015,,
"466","Exhibition","Azoteas, corredores y otros lugares",,"individual",2018,,
"467","Exhibition","Aviaria Memoria",,"colectiva",2018,,
"468","Exhibition","Automatique",,"individual",2016,,
"469","Exhibition","Atrocity",,"individual",2016,,
"470","Exhibition","Atrue history",,"individual",2014,,
"472","Exhibition","Atmósferas místicas",,"individual",2016,,
"473","Exhibition","ASangre y fuego",,"colectiva",2012,,
"474","Exhibition","Asu materia perdonará el fuego",,"individual",2017,,
"475","Exhibition","Arqueología del futuro",,"individual",2018,,
"476","Exhibition","Arte vs arte, una antología",,"individual",2018,,
"477","Exhibition","Arché",,"individual",2018,,
"478","Exhibition","Aquí",,"individual",2016,,
"479","Exhibition","Aquí y ahora",,"individual",2017,,
"480","Exhibition","Aquatania parte uno",,"individual",2017,,
